"","neighbourhood_name","dbh_avg","dbh_median","dbh_sd","dbh_range","height"
"1","ARBUTUS-RIDGE",11.8674192300251,10,8.67479862736504,62,2.71986844650803
"2","DOWNTOWN",7.41781698332687,6,4.71395188491822,86,2.43602171384257
"3","DUNBAR-SOUTHLANDS",13.8816815381347,12,10.6135052668187,72,3.02644996813257
"4","FAIRVIEW",10.6184782608696,9,7.98048726356425,99,2.80084957521239
"5","GRANDVIEW-WOODLAND",11.3846039086976,8.5,9.12022935163075,63,2.60137251976727
"6","HASTINGS-SUNRISE",10.971245970036,8.5,8.54951354364108,56,2.45543333965485
"7","KENSINGTON-CEDAR COTTAGE",11.6590445571454,9.5,8.92812527994584,99,2.60052526716175
"8","KERRISDALE",12.6419899062725,10,9.64361829106528,85,2.81009372746936
"9","KILLARNEY",10.0566802212101,8,7.48788928981205,50,2.50048796356539
"10","KITSILANO",14.3824513187084,12,10.2129001205624,72,3.25905841754991
"11","MARPOLE",11.4359266257282,8.5,9.20286506673357,99,2.35852621634388
"12","MOUNT PLEASANT",11.077312460267,9,8.49095134747583,93.5,2.64574062301335
"13","OAKRIDGE",10.0376897414512,8,7.91049000619623,63,2.13573811509591
"14","RENFREW-COLLINGWOOD",9.64857807834182,7,7.8291947078984,99,2.233181099596
"15","RILEY PARK",11.795461426492,9,9.2833380993526,99,2.56724890829694
"16","SHAUGHNESSY",14.2916692823513,12,11.2969835289563,99,3.24254529890141
"17","SOUTH CAMBIE",11.6439706762418,8,9.32870226906619,75,2.58438061041293
"18","STRATHCONA",9.21402716593245,6.5,7.41320050496195,48,2.42327459618209
"19","SUNSET",10.7780554559579,8.5,8.29478683871799,95,2.32341340982431
"20","VICTORIA-FRASERVIEW",10.1682483626557,8,7.92033402707196,55,2.31308591241813
"21","WEST END",12.1290076988879,10.5,8.25682688628734,55,2.87881380096949
"22","WEST POINT GREY",13.2182344604171,11,9.73104695752359,61.6,3.03401498279004
